[Fe/H],A(Li),$\overline{t}_{\star}$,M,T$_{eff}$,e,Z$_{max}$,$L_z$
-0.31,2.01,11.220189470737862,0.9042359048663958,5780.0,0.1193619074711858,1.0032282248233764,2028.5358037345168
-0.17,1.98,9.33254874614691,0.8716352990364036,5757.0,0.1106351991762378,0.670432152291972,1907.144964743119
-0.07,1.51,11.748967293472964,0.8867553868797095,5698.0,0.2763960522218507,0.9965516634642148,1836.5298512064428
0.28,0.62,7.413100459583173,0.9502165189547472,5478.0,0.1127738739071217,0.50193880460667,1676.768299455262
-0.34,1.71,13.489632380568445,0.8297126578174886,5702.0,0.2571088278094672,1.3275262745305585,2239.902280096423
0.2,0.71,12.302692030632102,0.8734521873030481,5278.0,0.1808998929871752,0.7829340180264031,1530.1653466097323
0.15,1.5,7.413100459583173,1.02501280973944,5806.0,0.1700736963190887,0.942358192235522,1839.4459272786453
-0.08,1.85,8.128302305789093,1.0287836946901796,5913.0,0.1505051499856728,1.2905938376280357,1749.9557762990285
-0.41,2.28,12.88248533293805,0.8087305842839297,5843.0,0.1819091118775798,0.5200753271337532,1572.5916442557473
-0.08,1.21,12.88248533293805,0.8553066678036505,5582.0,0.1330824298054832,0.7376832552281897,1645.3679940696309
0.17,0.77,11.220189470737862,0.902905730956974,5433.0,0.1508028477305392,0.65340622995229,1946.9541467216432
0.14,0.46,3.388439477987164,0.9777982961497969,5637.0,0.1385056199691307,0.4945580714713824,1655.4094823399878
0.32,0.49,11.748967293472964,0.9169781675322358,5331.0,0.1938512631093491,0.6283860898050335,2226.92171357642
-0.46,1.73,3.71534968021985,1.1965960561331097,6394.0,0.1679763496509377,2.800541307410832,1753.1153213703974
0.01,0.54,12.302692030632102,0.8827999830245972,5584.0,0.1814267184853967,0.8417870108189519,1863.1741103588945
-0.23,1.77,0.0051286142903939,1.6095233848805397,5743.0,0.1562165297018665,1.5253042705866284,1903.4237023246376
0.05,1.24,9.772367059324804,0.9985103165642004,5751.0,0.0687347809647229,1.2913529269947417,1890.6385094385848
-0.31,1.53,13.489632380568445,0.8716025159839236,5714.0,0.1463220569518508,1.319406325091368,1728.948111616195
0.04,1.05,11.748967293472964,0.9069536424611688,5581.0,0.1237386049742885,0.6570408832434835,1702.3430793041916
0.08,0.14,12.302692030632102,0.8398806709234897,5225.0,0.1835325533559709,1.3828360358613463,1606.19722781956
0.07,0.67,9.33254874614691,0.9350099732138684,5682.0,0.0932765407731979,1.4024554278125192,1751.1628823444282
-0.19,1.89,10.232935315766705,0.8640000224113464,5775.0,0.0660874163286412,1.7373044023404791,1886.1577905276736
-0.59,2.41,7.95732010920975,0.9450393199296502,6194.0,0.1474775994835211,1.881929837980166,1939.0700765796896
-0.13,2.44,7.76247730275455,1.033879580484711,5995.0,0.2846039145739366,1.49372712195492,1340.580969532395
-0.27,1.26,13.489632380568445,0.8382141167242139,5658.0,0.1867791375355322,0.9702493115355436,1589.7253294723523
-0.26,1.23,12.302692030632102,0.8643436364106949,5554.0,0.061426282114274,1.19088672144526,1729.765963475637
0.0,2.13,4.466831997992276,1.2635108908201875,5818.0,0.1552018524766588,0.9189936994783408,1672.499661569595
-0.24,0.85,12.302692030632102,0.8992999792098999,5695.0,0.1134702694754957,1.420451737071634,1955.5031446618536
0.13,0.27,8.128302305789093,0.9872282585495707,5731.0,0.2190625153680631,0.6681630478196282,1443.6072117174126
-0.03,1.39,9.33254874614691,0.9492999911308287,5890.0,0.1946976751088941,1.10788970495033,1646.5655228577562
-0.37,1.09,12.88248533293805,0.876730308911845,5518.0,0.1575657170370193,1.1449087358975352,1837.5307394357244
0.08,1.01,6.760828566222669,0.9556000232696532,5685.0,0.2557605822651131,0.4405944910734755,1402.293564106866
-0.01,1.28,9.33254874614691,0.933899998664856,5774.0,0.0771504305388931,0.4943058487670062,1899.449256645688
-0.09,2.34,6.456548528681109,1.009804928749968,6083.0,0.2217870744710012,0.600363361816304,1456.7885057937638
0.09,2.38,5.888442760205689,1.0880000591278076,6010.0,0.0971439433013459,0.6399308457359497,1718.703850678099
-0.02,0.57,13.489632380568445,0.859798752115827,5465.0,0.1002063275249259,0.5845860512022445,1723.5574339731977
0.21,2.44,4.466831997992276,1.1994999647140503,5939.0,0.1741050050494537,2.2602207744854828,2331.6009910785806
0.19,0.49,11.220189470737862,0.8996000289916992,5432.0,0.2005044892930143,0.7715992717198776,1796.8723013567878
0.04,0.39,5.12861429039393,1.2131863649214991,5331.0,0.0973586377088515,0.9767491442304788,1691.827633037174
-0.27,1.37,13.489632380568445,0.8722813964333509,5752.0,0.1140649446410438,1.2890116164571634,1700.4710912168343
-0.52,2.48,8.511386362914987,0.9330339947446012,6152.0,0.1069250082610574,1.5944865002331758,1888.6421556359544
0.13,-0.52,12.88248533293805,0.8550290225241592,5277.0,0.0612836615019935,0.9586191484677872,1818.8972504830813
0.07,-0.28,7.0794640622027885,0.8348795721442989,5184.0,0.1246283413801025,0.3399759953682283,1839.284033037816
0.12,1.01,11.220189470737862,0.9077967446052004,5549.0,0.116766509800375,0.8224190744427169,1662.562158318408
0.31,0.56,11.748967293472964,0.8935999870300293,5275.0,0.1214826749123596,0.5656110948614197,1638.7470233481745
0.0,1.18,10.232935315766705,0.8749222926014784,5582.0,0.1276588610650078,1.075894563651833,1982.4621169379093
-0.03,0.87,11.748967293472964,0.8328234960806451,5435.0,0.1274514841495162,0.7315061493151076,1614.2671295752095
-0.04,1.94,8.912505467113453,0.9361906037521908,5803.0,0.1965772751007935,0.7473132250270089,1674.8938945244008
-0.5,2.34,11.220189470737862,0.8450080092695277,6061.0,0.2074108562734364,1.482418016646914,2147.946619167914
0.3,0.45,3.71534968021985,1.0120675463101778,5586.0,0.0946614040633563,0.5321210501668829,1767.6181930112723
0.06,-0.69,12.302692030632102,0.7799943751109966,4916.0,0.170593561518106,0.5020936634658495,1636.5833723943747
0.11,0.55,8.511386362914987,1.0197087140373062,5802.0,0.0908172747452455,0.9183020130442237,1839.178542345198
0.13,0.53,12.88248533293805,0.8318064452656477,5166.0,0.0423040864954373,0.8622984534824263,1789.0784484625983
0.12,-0.58,11.748967293472964,0.8076136297773571,5061.0,0.1667870815715719,0.5489224399769239,1721.093954145735
0.16,1.4,7.76247730275455,1.0115156282127429,5761.0,0.167924504233262,0.6183115872122728,1581.808326998888
0.02,0.54,13.489632380568445,0.8846436474106555,5469.0,0.4096158090931766,0.8388932145253518,1112.4170964389386
0.5,1.21,6.456548528681109,1.154626201408539,5636.0,0.1023567941783971,0.9264842618631304,2056.496786636576
-0.09,0.93,13.489632380568445,0.8961400514566034,5667.0,0.2640396928638534,0.7965184687255068,1623.05849126042
-0.02,1.99,4.677352234557798,0.9702000021934508,5829.0,0.2247276193229116,0.7505719368207646,2030.0773193979555
0.18,0.59,6.165949477018448,1.010051201179833,5729.0,0.1840756292887544,0.4767615305600624,1574.202824943363
-0.45,1.85,7.8199123216208495,0.9896455275397632,5573.0,0.0810137163382909,2.6428941233302075,1913.51307337558
0.07,1.45,9.772367059324804,0.97979998588562,5750.0,0.1205733065921281,0.8554295479224872,2068.931414199438
0.22,0.59,11.748967293472964,0.8335557446947809,5081.0,0.2119894916638691,0.6746225453709377,1520.630308094877
0.16,0.1,12.302692030632102,0.8025096634543603,4995.0,0.270077974448733,0.5816163757524149,1468.3204440936634
0.12,-1.0,12.88248533293805,0.8496000170707703,5212.0,0.0951699584684932,0.8409486720882726,1815.1583936627312
-0.07,1.3,12.88248533293805,0.8499689454326613,5608.0,0.1872163859036028,0.6879565058009731,1852.090614630574
0.08,1.03,4.677352234557798,1.229599952697754,6003.0,0.1778032679379648,1.342501700325467,1680.145930827821
0.11,-0.32,11.748967293472964,0.8072999715805054,5079.0,0.189052084221603,0.3671370682986569,1554.330128555519
-0.09,2.31,7.76247730275455,1.034000039100647,6000.0,0.246381375931287,1.0419456516395833,1529.4859996595917
0.0,1.57,7.0794640622027885,0.9585154581258362,5809.0,0.097762201334914,0.7895900435186025,2013.873551679274
0.02,0.34,12.88248533293805,0.8100508881783305,5136.0,0.0949134066749007,0.5682087430655632,2072.8569583356366
-0.31,1.32,13.489632380568445,0.8251540401218872,5651.0,0.1791191971043298,0.9651833455550328,1580.6033501409502
-0.17,0.28,12.302692030632102,0.7497000098228455,5130.0,0.2481017654531533,0.5823379824265495,1978.529147422917
0.06,2.21,0.008128302305789,1.5478105162095843,5705.0,0.0939124201225389,0.8461227968072997,1832.042063722653
0.13,0.1,12.302692030632102,0.8336441958601967,5169.0,0.2621686808001613,0.5317024047998604,1459.6038941968627
-0.29,1.81,13.489632380568445,0.8512896017609025,5789.0,0.1004141381991103,1.1887621909523018,2189.2923174843445
-0.02,1.59,7.76247730275455,0.9495000243186952,5796.0,0.121729804988322,0.5986850264079095,1784.2722921625536
0.26,0.69,0.012352325860349,1.3411081323349727,5405.0,0.1172177703753733,1.1206811544618025,2044.212776044254
-0.12,2.08,9.772367059324804,0.9648599131859292,5857.0,0.3440959217144479,0.7754060399573302,1278.2648105589078
-0.22,1.26,12.88248533293805,0.8491405861387605,5720.0,0.1485255632015727,1.774419647262552,1984.6221411624056
-0.05,2.45,6.760828566222669,1.046722217019986,6042.0,0.2477382349277257,0.8993547391433163,1862.975299426977
-0.23,2.44,7.413100459583173,1.0267074193066523,6026.0,0.0560400722583262,1.4918245848941951,2094.5678247284814
-0.07,-0.31,12.88248533293805,0.760054208339708,4982.0,0.1060426164377058,0.6992095648340269,1951.9955466928045
-0.17,1.16,13.489632380568445,0.8266080476036601,5490.0,0.307865815399609,0.5271726067766647,1324.8812183177904
0.04,-0.38,10.232935315766705,0.8264518478695264,5231.0,0.0677355273214463,0.5693506532390895,1969.340243366508
-0.46,0.94,13.489632380568445,0.7787927986825937,5635.0,0.1906956790440483,1.0954238166952317,2031.9028292074647
-0.33,0.73,12.302692030632102,0.7714847524225911,5465.0,0.1524608048097221,0.6150133649551223,1816.082451738568
-0.23,0.98,12.88248533293805,0.7744699343488912,5365.0,0.1111527509160946,0.619085582781459,1725.2580429124548
0.08,0.96,11.748967293472964,0.9338348050061483,5660.0,0.1363291502010333,0.8242584321860971,1644.9837534026597
